case_id,resource,role,activity,start_time,end_time,enabled_time,age,priority
11,Applicant-000001,Applicant,Applicant completes form,2023-02-09T13:41:58.748,2023-02-09T14:41:58.748,2023-02-09T13:41:58.748,58,low
12,Clerk-000002,Clerk,Check application form completeness,2023-02-09T14:00:00.000,2023-02-09T14:54:12.548,2023-02-09T14:00:00.000,41,high
13,Clerk-000008,Clerk,Check application form completeness,2023-02-09T14:30:00.000,2023-02-09T14:58:10.842,2023-02-09T14:30:00.000,31,low
9,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-09T14:38:38.688,2023-02-09T14:58:38.688,2023-02-09T14:38:38.688,36,low
4,Clerk-000003,Clerk,Cancel application,2023-02-10T07:00:00.000,2023-02-10T07:05:00.000,2023-02-09T15:15:53.084,30,high
9,Clerk-000008,Clerk,Cancel application,2023-02-10T07:00:00.000,2023-02-10T07:05:00.000,2023-02-09T15:58:38.688,21,low
12,Clerk-000007,Clerk,Check credit history,2023-02-09T14:54:12.548,2023-02-10T07:05:49.295,2023-02-09T14:54:12.548,28,high
7,Clerk-000001,Clerk,Reject application,2023-02-10T07:00:00.000,2023-02-10T07:10:00.000,2023-02-09T15:13:54.318,46,low
10,Clerk-000002,Clerk,Reject application,2023-02-10T07:00:00.000,2023-02-10T07:10:00.000,2023-02-09T15:41:26.232,42,medium
12,AML Investigator-000001,AML Investigator,AML check,2023-02-09T14:54:12.548,2023-02-10T07:13:40.382,2023-02-09T14:54:12.548,56,high
13,AML Investigator-000002,AML Investigator,AML check,2023-02-09T14:58:10.842,2023-02-10T07:14:35.333,2023-02-09T14:58:10.842,33,low
13,Appraiser-000002,Appraiser,Appraise property,2023-02-09T14:58:10.842,2023-02-10T07:21:58.484,2023-02-09T14:58:10.842,48,low
11,Clerk-000006,Clerk,Check application form completeness,2023-02-09T14:41:58.748,2023-02-10T07:23:27.436,2023-02-09T14:41:58.748,53,low
12,Appraiser-000001,Appraiser,Appraise property,2023-02-09T14:54:12.548,2023-02-10T07:28:00.216,2023-02-09T14:54:12.548,23,high
15,Clerk-000008,Clerk,Check application form completeness,2023-02-10T07:30:00.000,2023-02-10T07:30:52.341,2023-02-10T07:30:00.000,36,low
15,Appraiser-000001,Appraiser,Appraise property,2023-02-10T07:30:52.341,2023-02-10T07:35:41.721,2023-02-10T07:30:52.341,63,low
11,Appraiser-000002,Appraiser,Appraise property,2023-02-10T07:23:27.436,2023-02-10T07:38:06.656,2023-02-10T07:23:27.436,18,low
12,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-10T07:28:00.216,2023-02-10T07:48:00.216,2023-02-10T07:28:00.216,22,high
11,AML Investigator-000001,AML Investigator,AML check,2023-02-10T07:23:27.436,2023-02-10T07:48:21.230,2023-02-10T07:23:27.436,20,low
11,Clerk-000003,Clerk,Check credit history,2023-02-10T07:23:27.436,2023-02-10T08:02:42.158,2023-02-10T07:23:27.436,40,low
15,Clerk-000007,Clerk,Check credit history,2023-02-10T07:30:52.341,2023-02-10T08:03:04.417,2023-02-10T07:30:52.341,33,low
16,Clerk-000001,Clerk,Check application form completeness,2023-02-10T08:00:00.000,2023-02-10T08:06:10.509,2023-02-10T08:00:00.000,56,high
14,Clerk-000004,Clerk,Check application form completeness,2023-02-10T07:00:00.000,2023-02-10T08:06:33.469,2023-02-09T15:00:00.000,48,high
16,Appraiser-000001,Appraiser,Appraise property,2023-02-10T08:06:10.509,2023-02-10T08:14:10.213,2023-02-10T08:06:10.509,29,high
13,Clerk-000005,Clerk,Check credit history,2023-02-09T14:58:10.842,2023-02-10T08:15:09.755,2023-02-09T14:58:10.842,29,low
16,AML Investigator-000001,AML Investigator,AML check,2023-02-10T08:06:10.509,2023-02-10T08:18:26.538,2023-02-10T08:06:10.509,21,high
11,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-10T08:02:42.158,2023-02-10T08:22:42.158,2023-02-10T08:02:42.158,58,low
11,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-10T08:22:42.158,2023-02-10T08:25:41.243,2023-02-10T08:22:42.158,23,low
15,AML Investigator-000002,AML Investigator,AML check,2023-02-10T07:30:52.341,2023-02-10T08:34:51.480,2023-02-10T07:30:52.341,42,low
13,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-10T08:15:09.755,2023-02-10T08:35:09.755,2023-02-10T08:15:09.755,35,low
16,Clerk-000002,Clerk,Check credit history,2023-02-10T08:06:10.509,2023-02-10T08:38:40.844,2023-02-10T08:06:10.509,62,high
14,Appraiser-000002,Appraiser,Appraise property,2023-02-10T08:06:33.469,2023-02-10T08:42:09.925,2023-02-10T08:06:33.469,64,high
11,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-10T08:25:41.243,2023-02-10T08:45:41.243,2023-02-10T08:25:41.243,51,low
15,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-10T08:34:51.480,2023-02-10T08:54:51.480,2023-02-10T08:34:51.480,65,low
12,Clerk-000003,Clerk,Reject application,2023-02-10T08:48:00.216,2023-02-10T08:58:00.216,2023-02-10T08:48:00.216,24,high
16,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-10T08:38:40.844,2023-02-10T08:58:40.844,2023-02-10T08:38:40.844,47,high
18,Clerk-000007,Clerk,Check application form completeness,2023-02-10T09:00:00.000,2023-02-10T09:08:22.594,2023-02-10T09:00:00.000,25,high
17,Clerk-000008,Clerk,Check application form completeness,2023-02-10T08:30:00.000,2023-02-10T09:10:51.617,2023-02-10T08:30:00.000,20,medium
17,Appraiser-000002,Appraiser,Appraise property,2023-02-10T09:10:51.617,2023-02-10T09:14:51.560,2023-02-10T09:10:51.617,40,medium
14,Clerk-000006,Clerk,Check credit history,2023-02-10T08:06:33.469,2023-02-10T09:27:17.115,2023-02-10T08:06:33.469,48,high
18,Clerk-000001,Clerk,Check credit history,2023-02-10T09:08:22.594,2023-02-10T09:29:55.085,2023-02-10T09:08:22.594,59,high
14,AML Investigator-000001,AML Investigator,AML check,2023-02-10T08:18:26.538,2023-02-10T09:42:36.200,2023-02-10T08:06:33.469,51,high
17,AML Investigator-000001,AML Investigator,AML check,2023-02-10T09:42:36.200,2023-02-10T09:43:47.466,2023-02-10T09:10:51.617,27,medium
13,Clerk-000002,Clerk,Reject application,2023-02-10T09:35:09.755,2023-02-10T09:45:09.755,2023-02-10T09:35:09.755,64,low
11,Clerk-000003,Clerk,Cancel application,2023-02-10T09:45:41.243,2023-02-10T09:50:41.243,2023-02-10T09:45:41.243,60,low
18,AML Investigator-000002,AML Investigator,AML check,2023-02-10T09:08:22.594,2023-02-10T09:51:26.148,2023-02-10T09:08:22.594,26,high
17,Clerk-000004,Clerk,Check credit history,2023-02-10T09:10:51.617,2023-02-10T09:59:50.141,2023-02-10T09:10:51.617,46,medium
14,Loan Officer-000004,Loan Officer,Assess loan risk,2023-02-10T09:42:36.200,2023-02-10T10:02:36.200,2023-02-10T09:42:36.200,23,high
15,Clerk-000007,Clerk,Reject application,2023-02-10T09:54:51.480,2023-02-10T10:04:51.480,2023-02-10T09:54:51.480,27,low
16,Clerk-000008,Clerk,Reject application,2023-02-10T09:58:40.844,2023-02-10T10:08:40.844,2023-02-10T09:58:40.844,32,high
20,Clerk-000006,Clerk,Check application form completeness,2023-02-10T10:00:00.000,2023-02-10T10:14:41.023,2023-02-10T10:00:00.000,54,high
17,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-10T09:59:50.141,2023-02-10T10:19:50.141,2023-02-10T09:59:50.141,45,medium
17,Loan Officer-000001,Loan Officer,Design loan offer,2023-02-10T10:19:50.141,2023-02-10T10:19:52.730,2023-02-10T10:19:50.141,62,medium
20,AML Investigator-000001,AML Investigator,AML check,2023-02-10T10:14:41.023,2023-02-10T10:21:59.879,2023-02-10T10:14:41.023,23,high
20,Appraiser-000002,Appraiser,Appraise property,2023-02-10T10:14:41.023,2023-02-10T10:34:05.483,2023-02-10T10:14:41.023,41,high
17,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-10T10:19:52.730,2023-02-10T10:39:52.730,2023-02-10T10:19:52.730,32,medium
19,Clerk-000005,Clerk,Check application form completeness,2023-02-10T09:30:00.000,2023-02-10T10:41:38.999,2023-02-10T09:30:00.000,26,medium
19,AML Investigator-000002,AML Investigator,AML check,2023-02-10T10:41:38.999,2023-02-10T10:55:36.236,2023-02-10T10:41:38.999,55,medium
20,Clerk-000001,Clerk,Check credit history,2023-02-10T10:14:41.023,2023-02-10T10:57:42.224,2023-02-10T10:14:41.023,42,high
21,Clerk-000002,Clerk,Check application form completeness,2023-02-10T10:30:00.000,2023-02-10T11:07:02.431,2023-02-10T10:30:00.000,55,high
21,AML Investigator-000001,AML Investigator,AML check,2023-02-10T11:07:02.431,2023-02-10T11:10:27.544,2023-02-10T11:07:02.431,62,high
14,Clerk-000007,Clerk,Reject application,2023-02-10T11:02:36.200,2023-02-10T11:12:36.200,2023-02-10T11:02:36.200,30,high
20,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-10T10:57:42.224,2023-02-10T11:17:42.224,2023-02-10T10:57:42.224,54,high
22,Clerk-000004,Clerk,Check application form completeness,2023-02-10T11:00:00.000,2023-02-10T11:17:44.091,2023-02-10T11:00:00.000,61,high
19,Clerk-000003,Clerk,Check credit history,2023-02-10T10:41:38.999,2023-02-10T11:20:57.244,2023-02-10T10:41:38.999,56,medium
20,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-10T11:17:42.224,2023-02-10T11:23:03.275,2023-02-10T11:17:42.224,26,high
21,Clerk-000008,Clerk,Check credit history,2023-02-10T11:07:02.431,2023-02-10T11:32:10.404,2023-02-10T11:07:02.431,61,high
19,Appraiser-000002,Appraiser,Appraise property,2023-02-10T10:41:38.999,2023-02-10T11:39:47.174,2023-02-10T10:41:38.999,21,medium
22,AML Investigator-000002,AML Investigator,AML check,2023-02-10T11:17:44.091,2023-02-10T11:41:40.663,2023-02-10T11:17:44.091,21,high
20,Senior Officer-000002,Senior Officer,Approve loan offer,2023-02-10T11:23:03.275,2023-02-10T11:43:03.275,2023-02-10T11:23:03.275,65,high
23,Clerk-000005,Clerk,Check application form completeness,2023-02-10T11:30:00.000,2023-02-10T11:43:55.431,2023-02-10T11:30:00.000,34,medium
17,Clerk-000001,Clerk,Cancel application,2023-02-10T11:39:52.730,2023-02-10T11:44:52.730,2023-02-10T11:39:52.730,22,medium
18,Appraiser-000001,Appraiser,Appraise property,2023-02-10T09:08:22.594,2023-02-10T11:54:01.145,2023-02-10T09:08:22.594,38,high
22,Clerk-000006,Clerk,Check credit history,2023-02-10T11:17:44.091,2023-02-10T11:55:55.361,2023-02-10T11:17:44.091,27,high
22,Appraiser-000001,Appraiser,Appraise property,2023-02-10T11:54:01.145,2023-02-10T11:58:37.708,2023-02-10T11:17:44.091,19,high
19,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-10T11:39:47.174,2023-02-10T11:59:47.174,2023-02-10T11:39:47.174,28,medium
23,Clerk-000002,Clerk,Check credit history,2023-02-10T11:43:55.431,2023-02-10T12:03:09.552,2023-02-10T11:43:55.431,43,medium
18,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-10T11:54:01.145,2023-02-10T12:14:01.145,2023-02-10T11:54:01.145,30,high
23,AML Investigator-000001,AML Investigator,AML check,2023-02-10T11:43:55.431,2023-02-10T12:14:29.279,2023-02-10T11:43:55.431,36,medium
19,Loan Officer-000004,Loan Officer,Design loan offer,2023-02-10T11:59:47.174,2023-02-10T12:15:03.484,2023-02-10T11:59:47.174,51,medium
22,Loan Officer-000002,Loan Officer,Assess loan risk,2023-02-10T11:58:37.708,2023-02-10T12:18:37.708,2023-02-10T11:58:37.708,54,high
21,Appraiser-000002,Appraiser,Appraise property,2023-02-10T11:39:47.174,2023-02-10T12:20:59.608,2023-02-10T11:07:02.431,61,high
25,Clerk-000004,Clerk,Check application form completeness,2023-02-10T12:30:00.000,2023-02-10T12:30:11.985,2023-02-10T12:30:00.000,32,low
19,Senior Officer-000001,Senior Officer,Approve loan offer,2023-02-10T12:15:03.484,2023-02-10T12:35:03.484,2023-02-10T12:15:03.484,19,medium
24,Clerk-000007,Clerk,Check application form completeness,2023-02-10T12:00:00.000,2023-02-10T12:36:04.235,2023-02-10T12:00:00.000,50,low
21,Loan Officer-000003,Loan Officer,Assess loan risk,2023-02-10T12:20:59.608,2023-02-10T12:40:59.608,2023-02-10T12:20:59.608,58,high
24,AML Investigator-000001,AML Investigator,AML check,2023-02-10T12:36:04.235,2023-02-10T12:41:56.731,2023-02-10T12:36:04.235,18,low
20,Clerk-000005,Clerk,Approve application,2023-02-10T12:43:03.275,2023-02-10T12:48:03.275,2023-02-10T12:43:03.275,39,high
25,Clerk-000003,Clerk,Check credit history,2023-02-10T12:30:11.985,2023-02-10T12:58:57.558,2023-02-10T12:30:11.985,24,low
24,Clerk-000008,Clerk,Check credit history,2023-02-10T12:36:04.235,2023-02-10T13:04:34.796,2023-02-10T12:36:04.235,31,low
23,Appraiser-000001,Appraiser,Appraise property,2023-02-10T11:58:37.708,2023-02-10T13:04:44.529,2023-02-10T11:43:55.431,48,medium
26,Clerk-000001,Clerk,Check application form completeness,2023-02-10T13:00:00.000,2023-02-10T13:08:47.121,2023-02-10T13:00:00.000,52,medium
26,Clerk-000006,Clerk,Check credit history,2023-02-10T13:08:47.121,2023-02-10T13:10:06.244,2023-02-10T13:08:47.121,57,medium
25,Appraiser-000002,Appraiser,Appraise property,2023-02-10T12:30:11.985,2023-02-10T13:13:52.736,2023-02-10T12:30:11.985,56,low
18,Clerk-000002,Clerk,Reject application,2023-02-10T13:14:01.145,2023-02-10T13:24:01.145,2023-02-10T13:14:01.145,38,high
23,Loan Officer-000001,Loan Officer,Assess loan risk,2023-02-10T13:04:44.529,2023-02-10T13:24:44.529,2023-02-10T13:04:44.529,20,medium
25,AML Investigator-000002,AML Investigator,AML check,2023-02-10T12:30:11.985,2023-02-10T13:26:32.110,2023-02-10T12:30:11.985,35,low
22,Clerk-000004,Clerk,Reject application,2023-02-10T13:18:37.708,2023-02-10T13:28:37.708,2023-02-10T13:18:37.708,49,high
26,AML Investigator-000001,AML Investigator,AML check,2023-02-10T13:08:47.121,2023-02-10T13:29:59.765,2023-02-10T13:08:47.121,61,medium
19,Clerk-000005,Clerk,Approve application,2023-02-10T13:35:03.484,2023-02-10T13:40:03.484,2023-02-10T13:35:03.484,18,medium
27,Clerk-000007,Clerk,Check application form completeness,2023-02-10T13:30:00.000,2023-02-10T13:41:30.500,2023-02-10T13:30:00.000,64,high
