case_id,activity,resource,enabled_time,start_time,end_time
9,Approve Application,Bot_X,2025-06-06 19:17:02,2025-06-06 19:17:07,2025-06-06 19:17:32
10,Submit Application,Agent_A,2025-06-18 19:15:16,2025-06-18 19:15:21,2025-06-18 19:15:44
10,Check Credit Score,Manager_Y,2025-06-18 19:16:44,2025-06-18 19:16:49,2025-06-18 19:17:39
10,Reject Application,Manager_Y,2025-06-18 19:18:39,2025-06-18 19:18:44,2025-06-18 19:19:02
11,Submit Application,Agent_A,2025-06-03 19:15:16,2025-06-03 19:15:21,2025-06-03 19:16:01
11,Reject Application,Officer_B,2025-06-03 19:17:01,2025-06-03 19:17:06,2025-06-03 19:17:19
11,Approve Application,Bot_X,2025-06-03 19:18:19,2025-06-03 19:18:24,2025-06-03 19:18:48
12,Submit Application,Manager_Y,2025-05-21 19:15:16,2025-05-21 19:15:21,2025-05-21 19:16:18
12,Verify Documents,Manager_Y,2025-05-21 19:17:18,2025-05-21 19:17:23,2025-05-21 19:17:38
12,Notify Applicant,Officer_B,2025-05-21 19:18:38,2025-05-21 19:18:43,2025-05-21 19:19:22
12,Check Credit Score,Agent_A,2025-05-21 19:20:22,2025-05-21 19:20:27,2025-05-21 19:20:40
13,Submit Application,Agent_A,2025-05-20 19:15:16,2025-05-20 19:15:21,2025-05-20 19:15:31
13,Disburse Loan,Agent_A,2025-05-20 19:16:31,2025-05-20 19:16:36,2025-05-20 19:16:50
14,Submit Application,Bot_X,2025-05-20 19:15:16,2025-05-20 19:15:21,2025-05-20 19:16:15
14,Disburse Loan,Bot_X,2025-05-20 19:17:15,2025-05-20 19:17:20,2025-05-20 19:18:01
15,Submit Application,Bot_X,2025-05-25 19:15:16,2025-05-25 19:15:21,2025-05-25 19:16:09
15,Notify Applicant,Agent_A,2025-05-25 19:17:09,2025-05-25 19:17:14,2025-05-25 19:17:41
15,Check Credit Score,Agent_A,2025-05-25 19:18:41,2025-05-25 19:18:46,2025-05-25 19:19:41
16,Submit Application,Bot_X,2025-05-29 19:15:16,2025-05-29 19:15:21,2025-05-29 19:16:18
16,Verify Documents,Officer_B,2025-05-29 19:17:18,2025-05-29 19:17:23,2025-05-29 19:18:21
16,Approve Application,Bot_X,2025-05-29 19:19:21,2025-05-29 19:19:26,2025-05-29 19:19:39
16,Reject Application,Bot_X,2025-05-29 19:20:39,2025-05-29 19:20:44,2025-05-29 19:21:07
17,Submit Application,Officer_B,2025-05-23 19:15:16,2025-05-23 19:15:21,2025-05-23 19:16:19
17,Notify Applicant,Agent_A,2025-05-23 19:17:19,2025-05-23 19:17:24,2025-05-23 19:18:20
17,Verify Documents,Manager_Y,2025-05-23 19:19:20,2025-05-23 19:19:25,2025-05-23 19:19:58
17,Disburse Loan,Manager_Y,2025-05-23 19:20:58,2025-05-23 19:21:03,2025-05-23 19:21:37
18,Submit Application,Officer_B,2025-05-22 19:15:16,2025-05-22 19:15:21,2025-05-22 19:15:31
18,Verify Documents,Officer_B,2025-05-22 19:16:31,2025-05-22 19:16:36,2025-05-22 19:17:14
19,Submit Application,Bot_X,2025-06-17 19:15:16,2025-06-17 19:15:21,2025-06-17 19:15:39
19,Reject Application,Officer_B,2025-06-17 19:16:39,2025-06-17 19:16:44,2025-06-17 19:17:08
20,Submit Application,Officer_B,2025-06-17 19:15:16,2025-06-17 19:15:21,2025-06-17 19:16:11
20,Check Credit Score,Agent_A,2025-06-17 19:17:11,2025-06-17 19:17:16,2025-06-17 19:17:35
20,Disburse Loan,Officer_B,2025-06-17 19:18:35,2025-06-17 19:18:40,2025-06-17 19:19:33
21,Submit Application,Officer_B,2025-05-31 19:15:16,2025-05-31 19:15:21,2025-05-31 19:16:14
21,Disburse Loan,Agent_A,2025-05-31 19:17:14,2025-05-31 19:17:19,2025-05-31 19:17:55
21,Check Credit Score,Bot_X,2025-05-31 19:18:55,2025-05-31 19:19:00,2025-05-31 19:19:58
21,Verify Documents,Manager_Y,2025-05-31 19:20:58,2025-05-31 19:21:03,2025-05-31 19:22:01
22,Submit Application,Bot_X,2025-06-02 19:15:16,2025-06-02 19:15:21,2025-06-02 19:15:47
22,Reject Application,Agent_A,2025-06-02 19:16:47,2025-06-02 19:16:52,2025-06-02 19:17:12
22,Notify Applicant,Agent_A,2025-06-02 19:18:12,2025-06-02 19:18:17,2025-06-02 19:18:30
23,Submit Application,Officer_B,2025-05-25 19:15:16,2025-05-25 19:15:21,2025-05-25 19:15:57
23,Check Credit Score,Manager_Y,2025-05-25 19:16:57,2025-05-25 19:17:02,2025-05-25 19:17:59
23,Disburse Loan,Manager_Y,2025-05-25 19:18:59,2025-05-25 19:19:04,2025-05-25 19:20:02
23,Reject Application,Officer_B,2025-05-25 19:21:02,2025-05-25 19:21:07,2025-05-25 19:22:01
23,Notify Applicant,Bot_X,2025-05-25 19:23:01,2025-05-25 19:23:06,2025-05-25 19:23:19
24,Submit Application,Manager_Y,2025-05-26 19:15:16,2025-05-26 19:15:21,2025-05-26 19:16:14
24,Approve Application,Bot_X,2025-05-26 19:17:14,2025-05-26 19:17:19,2025-05-26 19:17:40
24,Notify Applicant,Officer_B,2025-05-26 19:18:40,2025-05-26 19:18:45,2025-05-26 19:19:03
25,Submit Application,Bot_X,2025-05-28 19:15:16,2025-05-28 19:15:21,2025-05-28 19:15:51
25,Disburse Loan,Bot_X,2025-05-28 19:16:51,2025-05-28 19:16:56,2025-05-28 19:17:07
25,Notify Applicant,Manager_Y,2025-05-28 19:18:07,2025-05-28 19:18:12,2025-05-28 19:18:59
25,Check Credit Score,Officer_B,2025-05-28 19:19:59,2025-05-28 19:20:04,2025-05-28 19:20:38
26,Submit Application,Agent_A,2025-05-27 19:15:16,2025-05-27 19:15:21,2025-05-27 19:15:57
26,Disburse Loan,Agent_A,2025-05-27 19:16:57,2025-05-27 19:17:02,2025-05-27 19:17:51
26,Check Credit Score,Bot_X,2025-05-27 19:18:51,2025-05-27 19:18:56,2025-05-27 19:19:49
27,Submit Application,Manager_Y,2025-06-15 19:15:16,2025-06-15 19:15:21,2025-06-15 19:15:34
27,Verify Documents,Bot_X,2025-06-15 19:16:34,2025-06-15 19:16:39,2025-06-15 19:17:14
28,Submit Application,Bot_X,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:15:50
28,Notify Applicant,Manager_Y,2025-06-07 19:16:50,2025-06-07 19:16:55,2025-06-07 19:17:49
28,Check Credit Score,Bot_X,2025-06-07 19:18:49,2025-06-07 19:18:54,2025-06-07 19:19:48
28,Disburse Loan,Officer_B,2025-06-07 19:20:48,2025-06-07 19:20:53,2025-06-07 19:21:15
28,Verify Documents,Officer_B,2025-06-07 19:22:15,2025-06-07 19:22:20,2025-06-07 19:22:55
29,Submit Application,Bot_X,2025-06-08 19:15:16,2025-06-08 19:15:21,2025-06-08 19:15:35
29,Reject Application,Manager_Y,2025-06-08 19:16:35,2025-06-08 19:16:40,2025-06-08 19:17:09
29,Notify Applicant,Bot_X,2025-06-08 19:18:09,2025-06-08 19:18:14,2025-06-08 19:18:37
29,Approve Application,Agent_A,2025-06-08 19:19:37,2025-06-08 19:19:42,2025-06-08 19:20:35
30,Submit Application,Officer_B,2025-05-24 19:15:16,2025-05-24 19:15:21,2025-05-24 19:15:52
30,Disburse Loan,Manager_Y,2025-05-24 19:16:52,2025-05-24 19:16:57,2025-05-24 19:17:23
30,Check Credit Score,Agent_A,2025-05-24 19:18:23,2025-05-24 19:18:28,2025-05-24 19:18:47
31,Submit Application,Manager_Y,2025-05-23 19:15:16,2025-05-23 19:15:21,2025-05-23 19:16:10
31,Approve Application,Agent_A,2025-05-23 19:17:10,2025-05-23 19:17:15,2025-05-23 19:18:01
31,Notify Applicant,Officer_B,2025-05-23 19:19:01,2025-05-23 19:19:06,2025-05-23 19:19:19
31,Disburse Loan,Agent_A,2025-05-23 19:20:19,2025-05-23 19:20:24,2025-05-23 19:21:01
31,Verify Documents,Manager_Y,2025-05-23 19:22:01,2025-05-23 19:22:06,2025-05-23 19:22:23
32,Submit Application,Agent_A,2025-06-15 19:15:16,2025-06-15 19:15:21,2025-06-15 19:16:19
32,Verify Documents,Manager_Y,2025-06-15 19:17:19,2025-06-15 19:17:24,2025-06-15 19:17:34
33,Submit Application,Manager_Y,2025-05-29 19:15:16,2025-05-29 19:15:21,2025-05-29 19:16:12
33,Disburse Loan,Agent_A,2025-05-29 19:17:12,2025-05-29 19:17:17,2025-05-29 19:17:48
34,Submit Application,Agent_A,2025-06-06 19:15:16,2025-06-06 19:15:21,2025-06-06 19:15:53
34,Reject Application,Manager_Y,2025-06-06 19:16:53,2025-06-06 19:16:58,2025-06-06 19:17:42
34,Check Credit Score,Agent_A,2025-06-06 19:18:42,2025-06-06 19:18:47,2025-06-06 19:19:21
34,Disburse Loan,Manager_Y,2025-06-06 19:20:21,2025-06-06 19:20:26,2025-06-06 19:20:56
34,Approve Application,Agent_A,2025-06-06 19:21:56,2025-06-06 19:22:01,2025-06-06 19:22:42
35,Submit Application,Bot_X,2025-06-02 19:15:16,2025-06-02 19:15:21,2025-06-02 19:15:31
35,Check Credit Score,Officer_B,2025-06-02 19:16:31,2025-06-02 19:16:36,2025-06-02 19:17:09
35,Verify Documents,Manager_Y,2025-06-02 19:18:09,2025-06-02 19:18:14,2025-06-02 19:18:41
35,Notify Applicant,Officer_B,2025-06-02 19:19:41,2025-06-02 19:19:46,2025-06-02 19:20:03
36,Submit Application,Bot_X,2025-06-14 19:15:16,2025-06-14 19:15:21,2025-06-14 19:15:35
36,Approve Application,Bot_X,2025-06-14 19:16:35,2025-06-14 19:16:40,2025-06-14 19:17:26
36,Reject Application,Officer_B,2025-06-14 19:18:26,2025-06-14 19:18:31,2025-06-14 19:19:24
36,Disburse Loan,Officer_B,2025-06-14 19:20:24,2025-06-14 19:20:29,2025-06-14 19:20:51
36,Notify Applicant,Manager_Y,2025-06-14 19:21:51,2025-06-14 19:21:56,2025-06-14 19:22:40
37,Submit Application,Bot_X,2025-06-16 19:15:16,2025-06-16 19:15:21,2025-06-16 19:15:47
37,Notify Applicant,Manager_Y,2025-06-16 19:16:47,2025-06-16 19:16:52,2025-06-16 19:17:27
37,Disburse Loan,Bot_X,2025-06-16 19:18:27,2025-06-16 19:18:32,2025-06-16 19:19:26
37,Reject Application,Manager_Y,2025-06-16 19:20:26,2025-06-16 19:20:31,2025-06-16 19:20:59
38,Submit Application,Bot_X,2025-06-14 19:15:16,2025-06-14 19:15:21,2025-06-14 19:16:02
38,Disburse Loan,Manager_Y,2025-06-14 19:17:02,2025-06-14 19:17:07,2025-06-14 19:17:37
39,Submit Application,Agent_A,2025-05-25 19:15:16,2025-05-25 19:15:21,2025-05-25 19:15:45
39,Verify Documents,Officer_B,2025-05-25 19:16:45,2025-05-25 19:16:50,2025-05-25 19:17:28
39,Disburse Loan,Officer_B,2025-05-25 19:18:28,2025-05-25 19:18:33,2025-05-25 19:19:03
40,Submit Application,Manager_Y,2025-06-03 19:15:16,2025-06-03 19:15:21,2025-06-03 19:16:02
40,Check Credit Score,Bot_X,2025-06-03 19:17:02,2025-06-03 19:17:07,2025-06-03 19:17:45
40,Verify Documents,Manager_Y,2025-06-03 19:18:45,2025-06-03 19:18:50,2025-06-03 19:19:38
41,Submit Application,Bot_X,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:15:55
41,Notify Applicant,Officer_B,2025-06-07 19:16:55,2025-06-07 19:17:00,2025-06-07 19:17:56
41,Disburse Loan,Agent_A,2025-06-07 19:18:56,2025-06-07 19:19:01,2025-06-07 19:19:51
42,Submit Application,Manager_Y,2025-06-11 19:15:16,2025-06-11 19:15:21,2025-06-11 19:15:37
42,Check Credit Score,Officer_B,2025-06-11 19:16:37,2025-06-11 19:16:42,2025-06-11 19:17:17
43,Submit Application,Officer_B,2025-06-09 19:15:16,2025-06-09 19:15:21,2025-06-09 19:15:53
43,Check Credit Score,Manager_Y,2025-06-09 19:16:53,2025-06-09 19:16:58,2025-06-09 19:17:50
43,Reject Application,Officer_B,2025-06-09 19:18:50,2025-06-09 19:18:55,2025-06-09 19:19:29
43,Verify Documents,Bot_X,2025-06-09 19:20:29,2025-06-09 19:20:34,2025-06-09 19:20:51
44,Submit Application,Officer_B,2025-06-03 19:15:16,2025-06-03 19:15:21,2025-06-03 19:16:00
44,Approve Application,Officer_B,2025-06-03 19:17:00,2025-06-03 19:17:05,2025-06-03 19:18:01
45,Submit Application,Agent_A,2025-05-29 19:15:16,2025-05-29 19:15:21,2025-05-29 19:15:51
45,Verify Documents,Manager_Y,2025-05-29 19:16:51,2025-05-29 19:16:56,2025-05-29 19:17:40
45,Reject Application,Agent_A,2025-05-29 19:18:40,2025-05-29 19:18:45,2025-05-29 19:19:31
45,Check Credit Score,Bot_X,2025-05-29 19:20:31,2025-05-29 19:20:36,2025-05-29 19:21:18
45,Approve Application,Officer_B,2025-05-29 19:22:18,2025-05-29 19:22:23,2025-05-29 19:22:52
46,Submit Application,Bot_X,2025-06-16 19:15:16,2025-06-16 19:15:21,2025-06-16 19:16:14
46,Check Credit Score,Agent_A,2025-06-16 19:17:14,2025-06-16 19:17:19,2025-06-16 19:17:33
47,Submit Application,Officer_B,2025-05-28 19:15:16,2025-05-28 19:15:21,2025-05-28 19:15:33
47,Approve Application,Bot_X,2025-05-28 19:16:33,2025-05-28 19:16:38,2025-05-28 19:17:03
47,Verify Documents,Agent_A,2025-05-28 19:18:03,2025-05-28 19:18:08,2025-05-28 19:19:02
47,Check Credit Score,Bot_X,2025-05-28 19:20:02,2025-05-28 19:20:07,2025-05-28 19:20:40
48,Submit Application,Manager_Y,2025-05-21 19:15:16,2025-05-21 19:15:21,2025-05-21 19:15:47
48,Approve Application,Officer_B,2025-05-21 19:16:47,2025-05-21 19:16:52,2025-05-21 19:17:13
49,Submit Application,Officer_B,2025-05-28 19:15:16,2025-05-28 19:15:21,2025-05-28 19:16:09
49,Verify Documents,Bot_X,2025-05-28 19:17:09,2025-05-28 19:17:14,2025-05-28 19:17:47
50,Submit Application,Manager_Y,2025-06-04 19:15:16,2025-06-04 19:15:21,2025-06-04 19:16:04
50,Reject Application,Bot_X,2025-06-04 19:17:04,2025-06-04 19:17:09,2025-06-04 19:18:07
50,Check Credit Score,Manager_Y,2025-06-04 19:19:07,2025-06-04 19:19:12,2025-06-04 19:20:07
50,Notify Applicant,Manager_Y,2025-06-04 19:21:07,2025-06-04 19:21:12,2025-06-04 19:21:29
51,Submit Application,Manager_Y,2025-06-11 19:15:16,2025-06-11 19:15:21,2025-06-11 19:15:47
51,Notify Applicant,Manager_Y,2025-06-11 19:16:47,2025-06-11 19:16:52,2025-06-11 19:17:42
51,Disburse Loan,Officer_B,2025-06-11 19:18:42,2025-06-11 19:18:47,2025-06-11 19:19:00
51,Reject Application,Bot_X,2025-06-11 19:20:00,2025-06-11 19:20:05,2025-06-11 19:20:27
51,Check Credit Score,Manager_Y,2025-06-11 19:21:27,2025-06-11 19:21:32,2025-06-11 19:22:22
52,Submit Application,Agent_A,2025-05-27 19:15:16,2025-05-27 19:15:21,2025-05-27 19:16:13
52,Verify Documents,Manager_Y,2025-05-27 19:17:13,2025-05-27 19:17:18,2025-05-27 19:17:31
53,Submit Application,Officer_B,2025-06-06 19:15:16,2025-06-06 19:15:21,2025-06-06 19:15:45
53,Notify Applicant,Manager_Y,2025-06-06 19:16:45,2025-06-06 19:16:50,2025-06-06 19:17:31
53,Disburse Loan,Bot_X,2025-06-06 19:18:31,2025-06-06 19:18:36,2025-06-06 19:19:17
54,Submit Application,Officer_B,2025-06-05 19:15:16,2025-06-05 19:15:21,2025-06-05 19:15:45
54,Reject Application,Manager_Y,2025-06-05 19:16:45,2025-06-05 19:16:50,2025-06-05 19:17:39
55,Submit Application,Officer_B,2025-06-13 19:15:16,2025-06-13 19:15:21,2025-06-13 19:16:06
55,Disburse Loan,Manager_Y,2025-06-13 19:17:06,2025-06-13 19:17:11,2025-06-13 19:17:35
55,Approve Application,Agent_A,2025-06-13 19:18:35,2025-06-13 19:18:40,2025-06-13 19:19:17
56,Submit Application,Officer_B,2025-05-31 19:15:16,2025-05-31 19:15:21,2025-05-31 19:16:19
56,Notify Applicant,Agent_A,2025-05-31 19:17:19,2025-05-31 19:17:24,2025-05-31 19:18:15
57,Submit Application,Agent_A,2025-06-17 19:15:16,2025-06-17 19:15:21,2025-06-17 19:16:04
57,Approve Application,Manager_Y,2025-06-17 19:17:04,2025-06-17 19:17:09,2025-06-17 19:17:59
58,Submit Application,Manager_Y,2025-06-14 19:15:16,2025-06-14 19:15:21,2025-06-14 19:16:16
58,Reject Application,Bot_X,2025-06-14 19:17:16,2025-06-14 19:17:21,2025-06-14 19:17:40
58,Check Credit Score,Manager_Y,2025-06-14 19:18:40,2025-06-14 19:18:45,2025-06-14 19:19:12
59,Submit Application,Manager_Y,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:16:15
59,Approve Application,Officer_B,2025-06-07 19:17:15,2025-06-07 19:17:20,2025-06-07 19:18:19
59,Notify Applicant,Bot_X,2025-06-07 19:19:19,2025-06-07 19:19:24,2025-06-07 19:20:00
59,Reject Application,Agent_A,2025-06-07 19:21:00,2025-06-07 19:21:05,2025-06-07 19:21:22
59,Check Credit Score,Officer_B,2025-06-07 19:22:22,2025-06-07 19:22:27,2025-06-07 19:22:38
60,Submit Application,Bot_X,2025-06-15 19:15:16,2025-06-15 19:15:21,2025-06-15 19:15:41
60,Disburse Loan,Manager_Y,2025-06-15 19:16:41,2025-06-15 19:16:46,2025-06-15 19:17:09
60,Check Credit Score,Agent_A,2025-06-15 19:18:09,2025-06-15 19:18:14,2025-06-15 19:19:13
60,Notify Applicant,Officer_B,2025-06-15 19:20:13,2025-06-15 19:20:18,2025-06-15 19:20:47
60,Reject Application,Bot_X,2025-06-15 19:21:47,2025-06-15 19:21:52,2025-06-15 19:22:13
61,Submit Application,Agent_A,2025-06-11 19:15:16,2025-06-11 19:15:21,2025-06-11 19:16:06
61,Disburse Loan,Bot_X,2025-06-11 19:17:06,2025-06-11 19:17:11,2025-06-11 19:17:57
61,Notify Applicant,Bot_X,2025-06-11 19:18:57,2025-06-11 19:19:02,2025-06-11 19:19:38
61,Check Credit Score,Bot_X,2025-06-11 19:20:38,2025-06-11 19:20:43,2025-06-11 19:21:06
61,Reject Application,Officer_B,2025-06-11 19:22:06,2025-06-11 19:22:11,2025-06-11 19:22:25
62,Submit Application,Officer_B,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:16:01
62,Check Credit Score,Manager_Y,2025-06-07 19:17:01,2025-06-07 19:17:06,2025-06-07 19:17:50
63,Submit Application,Agent_A,2025-05-21 19:15:16,2025-05-21 19:15:21,2025-05-21 19:15:49
63,Verify Documents,Bot_X,2025-05-21 19:16:49,2025-05-21 19:16:54,2025-05-21 19:17:42
64,Submit Application,Officer_B,2025-06-05 19:15:16,2025-06-05 19:15:21,2025-06-05 19:16:03
64,Check Credit Score,Officer_B,2025-06-05 19:17:03,2025-06-05 19:17:08,2025-06-05 19:17:18
65,Submit Application,Agent_A,2025-06-15 19:15:16,2025-06-15 19:15:21,2025-06-15 19:15:31
65,Reject Application,Agent_A,2025-06-15 19:16:31,2025-06-15 19:16:36,2025-06-15 19:17:12
65,Check Credit Score,Officer_B,2025-06-15 19:18:12,2025-06-15 19:18:17,2025-06-15 19:18:40
65,Approve Application,Agent_A,2025-06-15 19:19:40,2025-06-15 19:19:45,2025-06-15 19:20:34
65,Notify Applicant,Bot_X,2025-06-15 19:21:34,2025-06-15 19:21:39,2025-06-15 19:22:27
66,Submit Application,Officer_B,2025-05-28 19:15:16,2025-05-28 19:15:21,2025-05-28 19:15:39
66,Reject Application,Officer_B,2025-05-28 19:16:39,2025-05-28 19:16:44,2025-05-28 19:17:09
66,Disburse Loan,Manager_Y,2025-05-28 19:18:09,2025-05-28 19:18:14,2025-05-28 19:18:29
66,Check Credit Score,Bot_X,2025-05-28 19:19:29,2025-05-28 19:19:34,2025-05-28 19:20:32
66,Verify Documents,Agent_A,2025-05-28 19:21:32,2025-05-28 19:21:37,2025-05-28 19:22:21
67,Submit Application,Manager_Y,2025-05-30 19:15:16,2025-05-30 19:15:21,2025-05-30 19:15:45
67,Check Credit Score,Officer_B,2025-05-30 19:16:45,2025-05-30 19:16:50,2025-05-30 19:17:32
68,Submit Application,Manager_Y,2025-06-16 19:15:16,2025-06-16 19:15:21,2025-06-16 19:15:49
68,Check Credit Score,Bot_X,2025-06-16 19:16:49,2025-06-16 19:16:54,2025-06-16 19:17:54
68,Reject Application,Agent_A,2025-06-16 19:18:54,2025-06-16 19:18:59,2025-06-16 19:19:25
69,Submit Application,Agent_A,2025-05-21 19:15:16,2025-05-21 19:15:21,2025-05-21 19:15:55
69,Notify Applicant,Officer_B,2025-05-21 19:16:55,2025-05-21 19:17:00,2025-05-21 19:17:48
69,Approve Application,Agent_A,2025-05-21 19:18:48,2025-05-21 19:18:53,2025-05-21 19:19:13
69,Disburse Loan,Manager_Y,2025-05-21 19:20:13,2025-05-21 19:20:18,2025-05-21 19:20:52
69,Check Credit Score,Officer_B,2025-05-21 19:21:52,2025-05-21 19:21:57,2025-05-21 19:22:22
70,Submit Application,Agent_A,2025-05-21 19:15:16,2025-05-21 19:15:21,2025-05-21 19:15:33
70,Disburse Loan,Agent_A,2025-05-21 19:16:33,2025-05-21 19:16:38,2025-05-21 19:17:35
70,Notify Applicant,Manager_Y,2025-05-21 19:18:35,2025-05-21 19:18:40,2025-05-21 19:18:59
70,Verify Documents,Agent_A,2025-05-21 19:19:59,2025-05-21 19:20:04,2025-05-21 19:20:27
70,Reject Application,Officer_B,2025-05-21 19:21:27,2025-05-21 19:21:32,2025-05-21 19:22:13
71,Submit Application,Agent_A,2025-05-30 19:15:16,2025-05-30 19:15:21,2025-05-30 19:16:01
71,Disburse Loan,Agent_A,2025-05-30 19:17:01,2025-05-30 19:17:06,2025-05-30 19:18:03
71,Reject Application,Bot_X,2025-05-30 19:19:03,2025-05-30 19:19:08,2025-05-30 19:20:00
72,Submit Application,Officer_B,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:16:17
72,Check Credit Score,Officer_B,2025-06-07 19:17:17,2025-06-07 19:17:22,2025-06-07 19:18:01
72,Reject Application,Bot_X,2025-06-07 19:19:01,2025-06-07 19:19:06,2025-06-07 19:19:37
72,Verify Documents,Manager_Y,2025-06-07 19:20:37,2025-06-07 19:20:42,2025-06-07 19:21:14
73,Submit Application,Agent_A,2025-05-22 19:15:16,2025-05-22 19:15:21,2025-05-22 19:15:38
73,Notify Applicant,Bot_X,2025-05-22 19:16:38,2025-05-22 19:16:43,2025-05-22 19:17:26
74,Submit Application,Agent_A,2025-06-06 19:15:16,2025-06-06 19:15:21,2025-06-06 19:16:12
74,Verify Documents,Agent_A,2025-06-06 19:17:12,2025-06-06 19:17:17,2025-06-06 19:18:08
75,Submit Application,Agent_A,2025-05-26 19:15:16,2025-05-26 19:15:21,2025-05-26 19:15:36
75,Verify Documents,Manager_Y,2025-05-26 19:16:36,2025-05-26 19:16:41,2025-05-26 19:16:56
75,Reject Application,Agent_A,2025-05-26 19:17:56,2025-05-26 19:18:01,2025-05-26 19:18:55
75,Check Credit Score,Manager_Y,2025-05-26 19:19:55,2025-05-26 19:20:00,2025-05-26 19:20:34
75,Notify Applicant,Bot_X,2025-05-26 19:21:34,2025-05-26 19:21:39,2025-05-26 19:22:14
76,Submit Application,Officer_B,2025-06-07 19:15:16,2025-06-07 19:15:21,2025-06-07 19:16:09
76,Check Credit Score,Officer_B,2025-06-07 19:17:09,2025-06-07 19:17:14,2025-06-07 19:17:35
